filename,accuracy_rate,accuracy,false_pre,precision,predicted_t,anot_to,chan
8-0.5_edited,22,1,3,0.909090909,33,24,0
8-0.5_edited,16,0.727272727,0,1,18,24,1
9+0.5_edited,20,1.052631579,3,0.909090909,33,21,0
9+0.5_edited,16,0.842105263,0,1,18,21,1
9+1.5_edited,22,1,3,0.909090909,33,24,0
9+1.5_edited,16,0.727272727,0,1,18,24,1
9+2.5_edited,8,0.470588235,0,1,12,19,0
9+2.5_edited,11,0.647058824,0,1,15,19,1
9-0.5_edited,12,0.571428571,2,0.9,20,23,0
9-0.5_edited,16,0.761904762,2,0.913043478,23,23,1
10+0.5_edited,8,0.333333333,2,0.846153846,13,26,0
10+0.5_edited,13,0.541666667,3,0.833333333,18,26,1
10+1.5_edited,31,0.720930233,0,1,30,45,0
10+1.5_edited,33,0.76744186,0,1,33,45,1
10+2.5_edited,30,0.666666667,1,0.970588235,34,47,0
10+2.5_edited,42,0.933333333,3,0.953846154,65,47,1
10-0.5_edited,21,0.875,0,1,25,26,0
10-0.5_edited,17,0.708333333,0,1,18,26,1
